emb_dim,h_dim,latent_dim,categorical_dim,batch_size,save_model,initial_temp,min_temp,epochs,anneal_rate,current_epoch,train_loss,kld,recon_loss
15,50,15,2,128,False,1.0,0.5,50,3e-05,39,131.10823295129597,0.06866927969768562,131.03956355310936
15,50,15,2,128,False,1.0,0.5,50,3e-05,40,130.74272425530364,0.07233736748441807,130.67038760527723
15,50,15,2,128,False,1.0,0.5,50,3e-05,41,130.3872774661575,0.07581831134073642,130.31145886163026
15,50,15,2,128,False,1.0,0.5,50,3e-05,42,130.10593448027723,0.0769484371605499,130.0289856294242
15,50,15,2,128,False,1.0,0.5,50,3e-05,43,129.8276724209443,0.07998773924882899,129.74768471059218
15,50,15,2,128,False,1.0,0.5,50,3e-05,44,129.54426604212978,0.08422325119293855,129.46004287972636
15,50,15,2,128,False,1.0,0.5,50,3e-05,45,129.3072443588004,0.08704619541846587,129.2201980675123
15,50,15,2,128,False,1.0,0.5,50,3e-05,46,129.0600865400957,0.08979767355141718,128.9702889879764
15,50,15,2,128,False,1.0,0.5,50,3e-05,47,128.81902519774042,0.09375904969747553,128.72526630380537
15,50,15,2,128,False,1.0,0.5,50,3e-05,48,128.79328366274333,0.09605135694557791,128.6972324940381
15,50,15,2,128,False,1.0,0.5,50,3e-05,49,128.5098168810428,0.09832777955584764,128.41148941292948
15,50,30,2,128,False,1.0,0.5,50,3e-05,0,474.540914630363,0.21602905668235944,474.3248849099512
15,50,30,2,128,False,1.0,0.5,50,3e-05,1,430.73607842039667,0.2127468271479422,430.52333009835763
15,50,30,2,128,False,1.0,0.5,50,3e-05,2,411.0371592821996,0.20636290369442153,410.83079621541566
15,50,30,2,128,False,1.0,0.5,50,3e-05,3,393.5154361619475,0.20122292703686498,393.3142140425371
15,50,30,2,128,False,1.0,0.5,50,3e-05,4,376.8887489276696,0.1984526917585352,376.69029581480925
15,50,30,2,128,False,1.0,0.5,50,3e-05,5,360.78487400455367,0.18366559368470756,360.60120859725697
15,50,30,2,128,False,1.0,0.5,50,3e-05,6,345.11686495786216,0.15856457900935114,344.958301185903
