num_bdi_actions,num_rl_actions,plan_found,variation,error,bdi_score,rl_score,final_score,complete,num_plans,plan_library_size,plans_pct,eps
0,1,0,22,True,0,0,-100,True,0,20,5,520
0,1,0,23,True,0,0,-100,True,0,20,5,520
34,0,1,24,False,100,0,100,True,8,20,5,520
12,1,1,25,True,3,0,-100,True,5,20,5,520
0,1,0,26,True,0,0,-100,True,0,21,5,520
0,1,0,27,True,0,0,-100,True,0,21,5,520
26,0,1,28,False,100,0,100,True,7,21,5,520
26,0,1,29,False,100,0,100,True,7,21,5,520
0,100,0,21,True,0,0,0,False,0,19,5,576
0,100,0,22,True,0,0,0,False,0,20,5,576
0,100,0,23,True,0,0,0,False,0,20,5,576
34,0,1,24,False,100,0,100,True,8,20,5,576
12,90,1,25,True,3,0,3,True,5,20,5,576
0,100,0,26,True,0,0,0,False,0,21,5,576
0,100,0,27,True,0,0,0,False,0,21,5,576
26,0,1,28,False,100,0,100,True,7,21,5,576
26,0,1,29,False,100,0,100,True,7,21,5,576
0,1,0,21,True,0,0,-100,True,0,19,5,60
0,1,0,22,True,0,0,-100,True,0,20,5,60
0,1,0,23,True,0,0,-100,True,0,20,5,60
34,0,1,24,False,100,0,100,True,8,20,5,60
12,1,1,25,True,3,0,-100,True,5,20,5,60
0,1,0,26,True,0,0,-100,True,0,21,5,60
0,1,0,27,True,0,0,-100,True,0,21,5,60
26,0,1,28,False,100,0,100,True,7,21,5,60
26,0,1,29,False,100,0,100,True,7,21,5,60
0,1,0,21,True,0,0,-100,True,0,22,7,119
0,1,0,22,True,0,0,-100,True,0,23,7,119
0,1,0,23,True,0,0,-100,True,0,23,7,119
34,0,1,24,False,100,0,100,True,8,23,7,119
12,1,1,25,True,3,0,-100,True,5,23,7,119
28,0,1,26,False,100,0,100,True,7,23,7,119
28,0,1,27,False,100,0,100,True,7,23,7,119
26,0,1,28,False,100,0,100,True,7,23,7,119
26,0,1,29,False,100,0,100,True,7,23,7,119
0,1,0,21,True,0,0,-100,True,0,22,7,176
0,1,0,22,True,0,0,-100,True,0,23,7,176
0,1,0,23,True,0,0,-100,True,0,23,7,176
34,0,1,24,False,100,0,100,True,8,23,7,176
12,1,1,25,True,3,0,-100,True,5,23,7,176
28,0,1,26,False,100,0,100,True,7,23,7,176
28,0,1,27,False,100,0,100,True,7,23,7,176
26,0,1,28,False,100,0,100,True,7,23,7,176
26,0,1,29,False,100,0,100,True,7,23,7,176
0,100,0,21,True,0,3,3,False,0,22,7,233
0,100,0,22,True,0,3,3,False,0,23,7,233
0,100,0,23,True,0,3,3,False,0,23,7,233
34,0,1,24,False,100,0,100,True,8,23,7,233
12,90,1,25,True,3,0,3,True,5,23,7,233
28,0,1,26,False,100,0,100,True,7,23,7,233
28,0,1,27,False,100,0,100,True,7,23,7,233
26,0,1,28,False,100,0,100,True,7,23,7,233
26,0,1,29,False,100,0,100,True,7,23,7,233
0,1,0,21,True,0,0,-100,True,0,22,7,294
0,1,0,22,True,0,0,-100,True,0,23,7,294
0,1,0,23,True,0,0,-100,True,0,23,7,294
34,0,1,24,False,100,0,100,True,8,23,7,294
12,1,1,25,True,3,0,-100,True,5,23,7,294
28,0,1,26,False,100,0,100,True,7,23,7,294
28,0,1,27,False,100,0,100,True,7,23,7,294
26,0,1,28,False,100,0,100,True,7,23,7,294
26,0,1,29,False,100,0,100,True,7,23,7,294
0,1,0,21,True,0,0,-100,True,0,22,7,352
0,1,0,22,True,0,0,-100,True,0,23,7,352
0,1,0,23,True,0,0,-100,True,0,23,7,352
34,0,1,24,False,100,0,100,True,8,23,7,352
12,1,1,25,True,3,0,-100,True,5,23,7,352
28,0,1,26,False,100,0,100,True,7,23,7,352
28,0,1,27,False,100,0,100,True,7,23,7,352
26,0,1,28,False,100,0,100,True,7,23,7,352
26,0,1,29,False,100,0,100,True,7,23,7,352
0,1,0,21,True,0,0,-100,True,0,22,7,407
0,1,0,22,True,0,0,-100,True,0,23,7,407
0,1,0,23,True,0,0,-100,True,0,23,7,407
34,0,1,24,False,100,0,100,True,8,23,7,407
12,1,1,25,True,3,0,-100,True,5,23,7,407
28,0,1,26,False,100,0,100,True,7,23,7,407
28,0,1,27,False,100,0,100,True,7,23,7,407
26,0,1,28,False,100,0,100,True,7,23,7,407
26,0,1,29,False,100,0,100,True,7,23,7,407
0,100,0,21,True,0,0,0,False,0,22,7,461
0,100,0,22,True,0,0,0,False,0,23,7,461
0,100,0,23,True,0,0,0,False,0,23,7,461
34,0,1,24,False,100,0,100,True,8,23,7,461
12,90,1,25,True,3,0,3,True,5,23,7,461
28,0,1,26,False,100,0,100,True,7,23,7,461
28,0,1,27,False,100,0,100,True,7,23,7,461
26,0,1,28,False,100,0,100,True,7,23,7,461
26,0,1,29,False,100,0,100,True,7,23,7,461
0,1,0,21,True,0,0,-100,True,0,22,7,520
0,1,0,22,True,0,0,-100,True,0,23,7,520
0,1,0,23,True,0,0,-100,True,0,23,7,520
34,0,1,24,False,100,0,100,True,8,23,7,520
12,1,1,25,True,3,0,-100,True,5,23,7,520
28,0,1,26,False,100,0,100,True,7,23,7,520
28,0,1,27,False,100,0,100,True,7,23,7,520
